,text,label
39,"and  

Hi!  has Requested Arbitration with me:

Wikipedia:Requests for arbitration/Trey Stone and Davenbelle
Wikipedia:Requests for arbitration/Trey Stone and Davenbelle/Evidence

You are mentioned in evidence that I have presented and I'm bringing this to your attention. Comments and evidence of your own are welcome.

Sincerely,  01:08, May 14, 2005 (UTC)",0
40,"I'm involved in this content dispute?  Hell, I don't even understand what this article is about!  Something to do with ancient Greek, but beyond that, I've no clue.",0
41,"sicko 

You sick bastard. You make me sick.",1
42,"""
{| width=""""100%"""" style=""""background:transparent""""
{| width=""""100%"""" style=""""background-color:#""""
|style=""""width: 50%; border:1px solid #; background-color:#; vertical-align:top""""|
 Hello Richardsexton, and Welcome to Wikipedia!
Please remember to sign your name on talk pages by clicking  or using four tildes (~~~~); this will automatically produce your username and the date. Also, please do your best to always fill in the edit summary field. Below are some useful links to facilitate your involvement.
Happy editing!  (speak) 
{| width=""""100%"""" style=""""background-color:#""""
|style=""""width: 50%; border:0; background-color:#; vertical-align:top""""|
 Getting started Introduction
 The five pillars of Wikipedia
 How to edit a page Finding your way around Table of contents
 Department directory Editing articles How to develop an article
 Manual of Style
|style=""""width: 50%; border:0; background-color:#; vertical-align:top""""|
{| width=""""100%"""" cellpadding=""""2"""" style=""""vertical-align:top; background-color:#""""
! Getting help
|-
|style=""""color:#000""""|
 Frequently asked questions
 Cheatsheet
 Where to ask a question
 Help pages
 New contributors' help page
|-
!",0
43,"HOCKEY STICK UP YOUR ASS 

HOW DARE YOU ACCUSE THE AUTHOR OF THE ERIC GOERTZ ARTICLE OF WANTING WORLDWIDE FAME? Fucking asshole.

I wish there was still a hockey strike you FUCKHEAD.

Go ahead try to get my shit deleted wikipedia is just a bunch of old fucks trying to act scholarly about matters they know nothing about, how the fuck would you have heard this story any other way except by me using wikipedia? That's what I thought.

I hope you don't get palsy sitting on your computer salivating over women's NHL photos all day.

Go ahead and make my day!",1
44,"I hate Season 4. If there's one thing I hate more than that, it's Paul Tibbit himself! 

Paul Tibbit is a fucking-ass little piece of smelly donkey shit that raped SpongeBob rock-hard!!! 
I hope Paul Tibbit gets fucking cancer and burns in hell!
PAUL TIBBIT IS A WEED-SMOKING BASTARD WHO COMPLETELY FUCKED UP SPONGEBOB!!!!
SpongeBob is a pile of crap now. I don't think I've ever hated a person more than I hate Paul Tibbit. Him and his piss-poor animation skills.
Yeh Tibbit is SUCH A HOMO!!!!
I hope he fucking dies!
What the motherfucking hell is up with people these days? Nick's people obviously smoked lots and LOTS of crack in 2004!
I love Old SPongeBob. New SpongeBob. I don't blame SB. I blame FUCKING PAUL TIBBIT!!!!  SCREW YOU PAUL!!!!
Thanks to that man-hag SpongeBob is completely f++ked up. 

Now, all Nick Studios cares about is money! And i Mean ONLY MONEY!!! They can do an episode where SpongeBob fucking laughs like a fucking pedophile for 20 minutes straight and NOT CARE AT ALL!!! All these people give a tinker's damn about is money, ratings, and fucking fame and fortune. These guys are like celebrities in disgize! They try hard yet put so little effort into their shows JUST to make a quick damned buck! The new episodes drive me nuts! Like Paul Tibbit even HAS any!!!> If I ever meet Paul in real life I swear to neptune I will cut off his large, hairy ball sack tare out his skull and feast on his insides for Thanksgiving!!!!

Nick's people these days are obviously on tons of marijuana! These drunk dunces have no idea in hell what cartoon quality is ALL ABOUT! It would've been WAY better if they just slaughtered this crappy series after the movie!!!! Why watch this shit anymore when Paul Tibbit DESTROYED SPONGEBOB!!!!!! Little do I understand the appeal of the new SpongeBob. I can't believe Paul Tibbit can actually get away with screwing around with a phenominal TV show like he's on freaking cocaine or something! P. Tibbit should be on trial and should get the death penalty is he's considered guilty. Sure there may be some people out there who like the new SpongeBob, but anyone that does may never understand the meaning of good quality. In conclusion, FUCK YOU PAUL TIBBIT!!! FUCK YOU! FUCK YOU!! FUCK YOU!!! 71.64.6.46",1
45,"Why don't you kiss my ass, prick.",1
46,"Gay Sex

Demiurge is always up for some hot gay sex.",1
47,"No, it's not just you. Just more evidence that the current model for Wikipedia (i.e., let any fucking idiot in to do anything they please, then wait for someone to clean up after) won't last much longer. ==",1
48,"YO

I don't appreciate you pushing me as a black person fool! Get off my nuts, stop acting like some ho.",1
49,"It's certainly a popular work in some quarters, and I know that it fits your perspective, but that doesn't make it a reliable source. If so many articles cite it, that means a lot more articles need to be fixed.",0
50,Get a life you useless child rapist,1
51,"vat d hel  

du ju vant nau

Go fuck yourself

get a life",1
52,"| decline = Please read the instructions in the block message, especially those pertaining to your username. And if you have any direct connection with the company (as your current username suggests), please read Wikipedia's Conflict of Interest guidelines at WP:COI and explain what else you intend to do here if unblocked other than writing about this company.",0
53,"""

======================================================================================================
Okay with regards to that last little comment: How about you try choking on my balls you over 
excitable ancient. Forgive my antagonism but I give only as much as I receive, and I have most 
certainly received a substantial quantity from you. You may try to come across as a cool headed and fair moderator. In reality I would liken you more to a tyrant; nay to an immature little boy, despite your years (oh and so many of them there are). Without hardly a glance you toss aside any changes you can't verify with the limitless tome you assume your mind to be. And what of those whose revisions you've mindlessly reverted, you dispatch to them on mass pseudo-endearments and generic warnings such as the one seen above. I will admit to you that I have committed much wiki-vandalism in the past such as my early editing of Neil Peart but how is it that you cannot overlook the past and accept the legitimate revisions and improvements I and others have been making. I stand by my edit regarding Charles Nohh though I have given up trying to penetrate you tightly closed mind (which I will add in my rage is quite the adverse of what I would say about your wife). Furthermore having calmed myself I should mention a little about who I am. If you can recall (Of this there is little hope) you once likened my writing to that found in """"chat-rooms"""" and believe me when I say I did not LOL over that comment. I was at the time of our encounter studying a BA with a major in Creative English Writing. You should note before you jump to the conclusion that I dropped out as I suspect you would in your typical """"angry"""" way: not only have I graduated, I continued my study for a further year and obtained honors. I was working at the time as a contributor to a Wellington Based Music Interest Magazine, and had convinced the Fuehrer (my editor) to publish an article I wrote on Rush. It was while I was researching for this article that I came across the information which I added to the Neil Peart article. So thanks to you my small contribution was only read by the handful of New Zealanders who read my work, when it could have informed in whatever small way the countless many who may have stumbled upon it on the internet. So Thank YOU Anger22. It is your obsession with reversion resulting I must assume in a complete disregard of duty to family or perhaps a complete disconnection from the living world, I say again it is this obsession which keeps this website from being everything it should be. Thank for your tireless efforts. Thank for your senseless, heartless, worthless, and above all tireless efforts. I really do hate you.""",0
54,"""
nsaum75 should be blocked from editing this and similar articles. it is clear he is zionist and only edits from that standpoint. his attempt at creating a stacked rfc with a """"independent"""" closing admin being jewish is further examples of his attemp to hijack this article for the zionists.   """,0
55,i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay i am gay,1
56,"hello Coren u moron.  I am still getting my lulz on. don't worry about trying to ban my IP cuz i'll be on a new one in a few minutes.  i made many accounts from many IPs so i can get lulz from all u wiki-police homos like u. ur an asshole, in case u havent figured that out.  u probably have sex with farm animals and ur mom is a donkey.  anyways, imma kool dude and you're a lozer homo. u can't ban me from editing as the internets are forevers - moar lulz for me!",1
57,"Crush's Coaster? 

I was just wondering.... where did you get the Millionaire building being turned into Crush's Coaster.  Disney never announced it.  I researched it and it is just a rumor.  Can you please cite this?  Otherwise is it safe to delete it?",1
58,"Not spam 

My edit was not spam. Know why? Because spam is a advertisement by individuals or companies who make praising comments about their websites or products on the internet discussions. Stop being an ignorant.",0
59,"OK
OK IT WAS A Joke. I have seen too many people bitching because the canon is female so i wanted to pull a prank",1
60,You guys are the worst people ever and I never want to edit here again so just block me!,1
61,You stupid and more liar than me you don't want to understand that I don't lie!!!!!!I TOOK THESE INFORMATIONS ON TAROM OFFICIAL WEBSITE !!!I WILL NOT CEASE BECAUSE OF YOU AND I WILL WRITE UNTIL YOU GONNA BE BORED!! I'LL NOT RENOUNCE FOR YOU,1
62,REDIRECT Talk:The Dark Eyes of London (film),0
63,"This article uses a massive amount of PDF files as references, all of them uploaded and added by the same user. Might be OR.",0
64,"Shitush 

Shitush: who are you?

You are blatantly against Yadav's and this is horrible.

I want to speak with your supervisor.

Your derogatory language is unacceptable. Why do you enjoy such defamation? 

Because your inferior self has the power to control some webpage you automatically become the ruler. You're worldly knowledge is sub-par. Please join the rest of us in the 21st century in our struggle for equality.",1
65,"""

 you fool 

THERE WAS NO SUCH THING AS A """"ULTRA-NATIONALIST"""" POLITICAL PARTY IN FRANCE DURING THE REVOLUTION. FACT. You can Google all you want, but it won't change that simple fact. The abstract concepts of """"nationalism"""" or even """"ultra-nationalism"""" are one thing, but a political party? No, sorry babe. You're wrong. Embarrassingly wrong. Accept it, and move on baby boy.""",1
66,watch out for user:xeno hell bite your dick off!!!!,1
67,"Sorry, it should be User:Fahadsadah/Templates/Alert.js. Please can you also delete Fahadsadah/sig.css, which will not hold a {{db}} but meets G7?",0
68,"""

Thank you for experimenting with the page Fuck on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.   (talk) """,0
69,"Please read WP:V and WP:NOR, especially WP:SYNTH. You are trying to make your own analysis of what the source says, and that is not permitted by policy. — Malik Shabazz",0
70,""":::??? In what way is saying """"its useful"""" an NPOV issue?? If someone uses this for something, then its useful.  In my case, I am reading an article on Markov logic networks, wherein linguistic reification is one of the early steps, followed by conversion to a lambda calculus form, and then many other steps. In this calculation, reification is a crucial step.  The """"natural stupidity"""" article cited probably just says that using reified forms (aka QLF's or quasi-logical forms) in certain ways is stupid; it cannot claim that QLF's in and of themsels are useless.   

""",0
71,"Whoever banned me is a fucking idiot. 

Why didn't you ban the antisemites?",1
72,"""
 Your request at Files for upload 
 Hello, and thank you for your request at Files for Upload! The file has been uploaded.  You can find it at File:Crest of Gurley, Alabama.png. See Wikipedia:Images#Using images to learn image syntax, or Wikipedia:Creation and usage of media files for other types of files. Regards, rocMy contribs """,0
73,"""
p.p.s. It's certainly within your rights to delete legitimate warning messages from your talk page, but it also considered an acknowledgment that you are aware of it. Cheers.  | Talk """,0
74,Congrats on your first Headley experience Fainites. I think your voice as a new and independent editor in this headley saga made a huge difference and completely deflated his cabal theory stories. He really is utterly delusional. And thanks everyone for your continued diverse yet civil opinions on representing this controversial/criticized topic of NLP. I'm sure we'll create a balanced and useful article yet.,0
75,"Thank you , obviously I was offended and I lost my cool. It won't happen again.  I have legitimate policy related concerns about that entry as a whole.  While my concerns are legitimate, I failed repeatedly at communicating my intent.  I'm not sure what the others editors issues are with my submissions but I will in the future I will use appropriate procedures to rectify them if they can't be worked out.  Thank you again for being the bigger person.  Hopefully we can work together to keep our exchanges constructive and find common ground.",0
76,"""the point of view"""" """"In 1999, US military aircraft bombed the Zastava factory as part of the NATO peacekeeping operation in Kosovo. The attack targeted the military production site of the Zastava plant and as a result of it's close proximity, major damage was caused to the civil production site as well. it is a fact in history that the yugo factory was directly targeted, and not collateral damage. the is a provable fact, and it needs it be corrected. 

""",0
77,"""Regarding """"personal attacks"""", I took out the disclaimer (that I had put in). I first considered copying it over to the Wikipedia Review link, as this is the same site the disclaimer referred to, but then I realized, no, that's insane! What, now we're warning people that there might be bad language and not-nice things said on a website? What the fuck? That's like warning people before reading a newspaper that there might be articles that would be """"a bummer, man; might bring you down all day"""". What is this world turning into, Disneyland, where every protruding thing that could possibly hurt you is covered in nice soft padding? Sheesh! == 

""",1
78,"Enlightenment is a way of feeling for me!

Find out more about my thoughts at:",0
79,"No worries. — (talk, contribs)",0
80,"""
If you'll forgive my pedantry, NPA means No personal attacks, which means I can't say """"Tom is stupid"""". When somebody says """"thank you"""" for an edit then reports me for making it, that is stupid, no matter what rules are in place. I didn't attack the user, I attacked an action - something clearly allowed under site rules.  •T•C•E• """,0
81,"Edit: well, with boundary conditions, G will be more complicated. But for example, with Neumann boundary conditions, it is clear to see that the remaining surface integral should not be negative (by comparing with the wikipedia page for Helmholtz decomposition). It should have the opposite sign. The other part of the surface integral should also be the negative of what is written.",0
82,"i thought tht tha g unit feud page was kool,y did it get removed? -",1
83,How pathetic Dencord at you want to go around bullying just cause you can't get your own way. Grow up.,1
84,User BadtoGod was trying to warn you about your vandalsious edits and you attacked him because of his sexuality. Shame on you,1
85,"You are a thick little bastard, to try to push the capitalist vs communist debate on child mortality.  Think about Africa, some of the poorest countries in the world.  They are capitalist.  Their health currently stinks.  In my opinion, for any nation nation, the child mortality rate is directly related to money spend on health care, and this is directly related to the wealth of the countries. Before spreading your propaganda about third world nations, you should watch this wonderful presentation! If you are not convinced, stfu!",1
86,"neelix, what do you have to say for yourself, young man 

How do you explain this one to me, son? 2601:C:4380:198:F1A7:D091:1C4B:FD1B",0
87,Uncle douggie sound like a shirt lifter to me,0
88,"Using your incredibly simple logic, Hopkins can't be the champion because he DIDN'T pick up any of the belts. You're now resorting to making rubbish up saying that he did. Jones unified meaningless paper titles, and they sure as hell didn't end up in Hopkins' possesion.

You know nothing about boxing history & its politics. You're just a simple minded idiot who's wasting people's time. Wikipedia should ban you & lock these pages for good.",1
89,"July 2010 (UTC)

Oh my goodness! What a HUGE surprise!! Ronz is unable to understand anything that is not his own opinion. How surprising - not. Dear Mr Ronz: please stop:
Contributing NOTHING positive to WP.
Changing other people's contributions.
Threatening people.
Attempting to bully people.
Wasting my time.
Wasting your own time.
Wasting everbody's time.
  12:06, 7",0
90,"COME ON, SUCKA! 
I WILL PUNCH YOUR FUCKING FACE AND ALL YOUR FAMILY! YOU SON OF A BITCH!
FUCK YOU, SUCKA! WHAT DO YOU SAY NOW?!",1
91,"December 2010
Please stop the foolish edits to the article on Christopher Lloyd. Adding obvious misinformation to articles is considered vandalism and will quickly get you blocked.",0
92,"Your School 
hey you go to churchill, do you know a guy named Ahmad Thobani?",0
93,"""
If they are notable, find a source that says that they are notable. These list of favorite players should be removed from this page, as well as from the other position articles. Dil 

Who says these players are notable? What criteria is being used to determine who is or isn't notable?
It's completely unsourced POV. Come to some consensus criteria for what is going to be considered notable, and then add players back along with sources showing they meet these criteria. These sections are completely unacceptable per WP:A as they are currently written. Dil 
The notable player section is pure WP:OR and even if they meet a standard (say All star game the year before), there'll be other standards that makes other players notable.    

See the soccer positions those all have lists and these lists can let people easily see some famous players without having to see another page. The standard is those players have won awards before such as All-Stars such as Tony Parker, MVPs such as Steve Nash or All-NBA teams Steve Nash and Billups. New England(Black Harry) also agrees with me and to prove it see:Talk:Power forward (basketball).  
That's circular logic...Because soccer players have it, basketball players should?   Just because another user agrees with you means it should be in there.   I'm opposing based on the notion that wikipedia should not be setting the criteria on who is a notable PG and who is not.    

Regarding soccer positions, WP:OTHERCRAPEXISTS. 
If it's a list of players that have won MVP's, gone to All-Star games, or made the All-NBA team...then it should say that it is a list of those things, not that they are """"notable."""" Without clarification, it's just going to be a section which is constantly in a state of edit-warring because people want to see their favorite players on the list.  Also, please note that I started a new discussion on Wikipedia talk:WikiProject National Basketball Association. This isn't something that should be decided on an article talk page if the resulting consensus is going to affect multiple pages within the scope of a project.  Dil 

There is no need to describe the other point guards who have won the MVP as """"much shorter."""" Oscar Robertson was also tall for the position at 6'5. Steve Nash is taller than many point guards at 6'3. Magic Johnson was an anamoly at pg because he was so tall.  It is confusing to describe the others as short simply because they did not have his height. —Preceding unsigned comment added by  (talk • contribs)  

Iverson
allen iverson is listed as a point guard, steve blake plays the sg on the nuggets 

Steve Blake signed with his old team, the Portland Trail Blazers.   

 Chris Paul 

What about Chris Paul? He was Rookie of the Year! He should be on the notable list!   

I added John Stockton's name to this page.  He was at least one of the top 5 point guard to ever play.  —Preceding unsigned comment added by 204.126.146.202   

Jordan
In the last sentence of the last paragraph of the """"Offense"""" section begins with, """"Jordan's habit of ..."""" Who is Jordan? I would guess Micheal Jordan but I do not know that.  I am not knowledgeable about basketball so I do not know how many player's named Jordan there have been.

  """,0
94,"""

The source does not claim Brazilian Gauchos are descended from people from the city of Laguna. It only says """"people from Laguna organized the creation and trade in livestock"""". Moreover, Darcy Ribeiro claim that """"The Brazilian Gauchos have a common historical formation with the other Gauchos from the Plate. They arise from the ethnic transformation of the mixed-race people of mixed Spanish and Portuguese men with Guarani women"""".

The population from Southwest Rio Grande do Sul is largely connect to the old population from Argentina and Uruguay, before the mass European immigration in the late 19th century that actually changed most of the ethnic formation of Argentina and Uruguay. Since Southwest Rio Grande was not affected by the more recent European immigration, the population there still has the same Portuguese/Spanish/Guarani origin of the Gauchos from La Plata Basin. It seems the text there is ignoring the Guarani Indians in the formation of the people in Rio Grande do Sul, particularly Southern and Southweastern Rio Grande, wich was very important and undeniable.   """,0
95,hes a black pieceofshit,1
96,"""

 You're an idiot 

There's no such think as """"vandalizing the sandbox"""", idiot.  """,1
97,"Updating assistance
Though this might be a good place to ask for someone to update:
 2010 United States deepwater drilling moratorium and
 Hornbeck Offshore Services LLC v. Salazar
All the best:  Farmbrough, 23:22, 24 April 2014 (UTC).",0
98,"Oh go fuck yourself and stop stalking my page, you twisted bag of wank.",1
99,"HMMMM.... 

Uhh...Why are you such an asshole? So I'm not allowed to add a genre to the list? It simply states that I can..and anyone can..hmm...

Fascism at it's finest, eh?",1
100,"Sorry, I wasn't aware that Wikipedia was a dictatorship.",1
101,"User:Brian0918 is a trollish admin who should be blocked for being uncivil, just ignore him",0
102,"There's a photograph of him thus attired in The Northern Magus by Peter C. Newman, although admittedly it was taken just outside the chamber.",0
103,"Okay, then he isn't an idiot, just a dense person. Gute Nacht.",1
104,"your recent edits 

Thank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia.  Talk",0
105,((unblock. First off it's justly my nature to use that fucking language alright and its a damn amendment in the constitution you pc bastard this why we can't do shit in this country anymore and should shove your bullshit degree up your ass cunt ass fuck face go get herpes you shithead bastardized fuck,1
106,"Welcome!

Hey, , and welcome to Wikipedia! Thanks for your contributions. I hope you like the site and decide to stay. Here are some pages that you might find helpful (some of them may sound stupid, but I recommend you check them out):
The five pillars of Wikipedia
How to edit a page
Help pages
Tutorial 
How to write a great article
Manual of Style
The Sandbox — A great place to experiment
WP:Village pump — A good place for help

While editing, please remember:
Be Bold, but not reckless in updating pages
No personal attacks: be upset with the contributions, not the contributor

You should introduce yourself here at the new user log.  I hope you enjoy editing and being a Wikipedian!  Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name, the date, and the time.

For your first edits, I suggest searching for articles that you think might interest you.  You could also be audacious and try a random page.

If you need help, check out Wikipedia:Questions, ask me on my talk page, or place {{helpme}} on your talk page and someone will show up shortly to answer your questions. Again, welcome and happy editing!",0
107,"Best Player in the NBA 

Rashard Lewis, if you don't agree fuck you.",1
108,"got a fellow loser to tell me off did you? Think I give a fuck?!  

Block me then you co**sucker - clever people don't give a f*ck about editing Wikipedia? Just because Wikipedia has turned you into its b*tch, you can't see that being blocked is not a 'punishment'. If it happened to you it would be a blessing, but you'll never see how much time and life you've completely WASTED, because your brain is mush. Fuc*in wretch. Now get back to looking at Raw guest hosts and other childish wrestling topics. You make me sick - a grown man devoting his life to watching basted men in pants pretending to scrap. Did you enjoy watching Randy Orton's glistening belly button and atomic wedgie last week? It's f**king amoebas like you that have kept this most pathetic excuse for entertainment going for all these years - it should have died when all the redknecks finally found out it wasn't real. How this can still be a viable business in this day and age? But when there's enough 'people' with flea brains so abysmal to sit there editing Wikipedia most minutes of the day, it's no real f**king surprise.",1
